REG_ANS;CNPJ;RazaoSocial;Ano;Trimestre;ValorDespesas
335479;;;2025;3;1576346.04
335479;;;2025;3;21358897.23
335479;;;2025;3;329755.54
335479;;;2025;3;19596752.21
335479;;;2025;3;247303.09
335479;;;2025;3;856045.89
335479;;;2025;3;39150.0
335479;;;2025;3;1154176.54
335479;;;2025;3;1074330.83
335479;;;2025;3;2362640.96
335479;;;2025;3;7500.0
335479;;;2025;3;2649266.56
335479;;;2025;3;3945822.0
335479;;;2025;3;803000.34
335479;;;2025;3;2197258.47
335479;;;2025;3;5478251.84
335479;;;2025;3;93197.67
335479;;;2025;3;5378595.63
335479;;;2025;3;15435.0
335479;;;2025;3;6806591.07
336831;;;2025;3;1517002.95
336831;;;2025;3;17182208.81
336831;;;2025;3;5762535.13
336831;;;2025;3;28586025.77
336831;;;2025;3;309330.05
336831;;;2025;3;1212956.64
336831;;;2025;3;312699.14
336831;;;2025;3;1484960.7
336831;;;2025;3;2476965.25
336831;;;2025;3;20174074.78
336831;;;2025;3;5947739.24
336831;;;2025;3;28363609.34
336831;;;2025;3;970.0
336831;;;2025;3;70663.71
336831;;;2025;3;5517.2
336831;;;2025;3;34136.63
336831;;;2025;3;38158.93
336831;;;2025;3;274951.89
336831;;;2025;3;74261.5
336831;;;2025;3;402743.39
343064;;;2025;3;46800271.68
343064;;;2025;3;2716055.86
343064;;;2025;3;15891961.26
343064;;;2025;3;675324.15
343269;;;2025;3;1552084.03
343269;;;2025;3;27551216.58
343269;;;2025;3;73460.18
343269;;;2025;3;55557181.49
343269;;;2025;3;32669.26
343269;;;2025;3;294881.45
343269;;;2025;3;33379.89
343269;;;2025;3;1024990.34
343269;;;2025;3;9618344.42
343269;;;2025;3;75692.0
343269;;;2025;3;4191774.95
343269;;;2025;3;1990.0
343269;;;2025;3;9550636.2
343269;;;2025;3;6258.0
343269;;;2025;3;22523.0
343269;;;2025;3;181556.33
343269;;;2025;3;621764.1
343269;;;2025;3;7706.92
343269;;;2025;3;573155.34
343269;;;2025;3;806261.9
343269;;;2025;3;66427.98
343269;;;2025;3;3196.94
343722;;;2025;3;2602.48
343722;;;2025;3;6036091.54
343722;;;2025;3;752399.33
343722;;;2025;3;4215715.33
343722;;;2025;3;6789.49
343722;;;2025;3;1599834.24
343722;;;2025;3;93529.0
343722;;;2025;3;23077.27
343722;;;2025;3;135454.37
344397;;;2025;3;2206906.71
344397;;;2025;3;20307032.52
344397;;;2025;3;687510.48
344397;;;2025;3;290.19
344397;;;2025;3;4424267.76
344397;;;2025;3;4471210.65
344397;;;2025;3;30108311.04
344397;;;2025;3;403802.81
344397;;;2025;3;20880.08
344397;;;2025;3;9315856.33
344397;;;2025;3;927776.95
344397;;;2025;3;221544.66
344800;;;2025;3;79391496.82
344800;;;2025;3;33609969.69
344800;;;2025;3;114023334.41
344800;;;2025;3;2744153.44
346276;;;2025;3;228857.02
346276;;;2025;3;92910.51
346276;;;2025;3;6129769.41
347507;;;2025;3;11412.72
347507;;;2025;3;3485179.88
347507;;;2025;3;2210137.05
347507;;;2025;3;926.0
347507;;;2025;3;10529763.1
347507;;;2025;3;506199.59
347507;;;2025;3;4421007.09
347507;;;2025;3;700125.03
347507;;;2025;3;10618160.68
347507;;;2025;3;11193639.87
347507;;;2025;3;48132.26
347507;;;2025;3;11280942.53
347507;;;2025;3;55414.43
347507;;;2025;3;307221.28
347507;;;2025;3;290007.57
347507;;;2025;3;455286.03
347736;;;2025;3;6387821.81
347736;;;2025;3;93692.04
347736;;;2025;3;2420367.3
347736;;;2025;3;619832.35
347736;;;2025;3;2622664.57
347736;;;2025;3;258394.94
347736;;;2025;3;7072464.03
347736;;;2025;3;590280.63
325571;;;2025;3;15968.65
325571;;;2025;3;303863.62
325571;;;2025;3;222049.27
325571;;;2025;3;2433.73
325571;;;2025;3;1218126.3
325571;;;2025;3;36174.24
327557;;;2025;3;17414258.75
331651;;;2025;3;5568874.12
331651;;;2025;3;698863.25
331651;;;2025;3;9707976.64
331651;;;2025;3;1546473.25
331651;;;2025;3;206336.4
331651;;;2025;3;2771111.66
331651;;;2025;3;88153.94
331651;;;2025;3;248760.75
331651;;;2025;3;5801.74
331651;;;2025;3;344336.25
331651;;;2025;3;65598.12
331651;;;2025;3;331182.21
331651;;;2025;3;10271.58
331651;;;2025;3;701817.52
337561;;;2025;3;3658384.83
337561;;;2025;3;73033.31
337561;;;2025;3;837968.37
337561;;;2025;3;1280474.42
337561;;;2025;3;719702.39
337561;;;2025;3;4277696.97
337561;;;2025;3;122558.7
